"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3";"PinSocket_1x06_P2.54mm_Vertical";2;"Conn_01x06";;;
2;"U7";"PZ100";1;"MSP430F5438A";;;
3;"J5";"PinHeader_2x07_P1.27mm_Vertical";1;"Conn_2Rows-13Pins";;;
4;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C20,C21,C22,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37";"C_0805_2012Metric";33;"0.1uF";;;
5;"C19";"C_0805_2012Metric";1;"470nF";;;
6;"C23";"C_0805_2012Metric";1;"22uF";;;
7;"C24";"C_0805_2012Metric";1;"220uF";;;
8;"C25";"C_0805_2012Metric";1;"10uF";;;
9;"D1,D2,D3,D4,D9,D10,D11,D12";"SOT95P280X125-3N";8;"GL05T-E3-08";;;
10;"D5";"TO-269AA";1;"MB2S";;;
11;"D6";"D_SOD-123";1;"BZT52BC30-7";;;
12;"D7";"LED_0805_2012Metric";1;"VCC_5V";;;
13;"D8";"D_MiniMELF";1;"10MQ060N";;;
14;"F1";"Fuse_0805_2012Metric";1;"Polyswitch";;;
15;"J1,J2";"PinSocket_1x04_P1.27mm_Vertical";2;"Conn_01x04_Female";;;
16;"J7";"PinSocket_1x04_P1.27mm_Vertical";1;"Conn_01x04_Male";;;
17;"L1";"L_7.3x7.3_H4.5";1;"330uH";;;
18;"R1,R2,R3,R4,R9,R10,R11,R12";"R_0805_2012Metric";8;"4K7";;;
19;"R5,R6";"R_0805_2012Metric";2;"10K";;;
20;"R7";"R_0805_2012Metric";1;"47K";;;
21;"R8";"R_0805_2012Metric";1;"470";;;
22;"U1,U3,U10,U12";"SOIC127P1032X265-20N";4;"MAX3222CDW";;;
23;"U2,U4,U11,U13";"SOIC127P600X175-8N";4;"ISL83485";;;
24;"U5,U6";"SOIC127P600X175-8N";2;"24LC256";;;
25;"U8";"SOIC-14W_7.5x9mm_P1.27mm";1;"LM2574M-5";;;
26;"U9";"DD-3";1;"REG1117";;;
27;"H1,H2,H3,H4";"MountingHole_2.5mm_Pad";4;"MountingHole";;;
